iter	Logloss
0	0.6826880785
1	0.6729684203
2	0.662824781
3	0.6539766062
4	0.6450366089
5	0.6370829756
6	0.6302342749
7	0.6233664866
8	0.6166904469
9	0.6107466955
10	0.6051454133
11	0.59953420412	0.5939966001
113	0.589454760114	0.5838838329
15	0.5797294008
116	0.576271288817	0.5716714824
18	0.5684163536
19	0.5652459009
220	0.5623469752221	0.559719908
22	0.5571802684
23	0.554703515624	0.5495251043
225	0.549994397426	0.5448315752
27	0.5427538531
28	0.5402730341
29	0.5379953154
30	0.5362914744
31	0.5347507777
32	0.532672141
33	0.5310698899
3434	0.5332624233535	0.5314737536	36	0.5299918321
37	0.5287730426
38	0.5273421605
39	0.5261583946
40	0.5251705664
41	0.5242602851
42	0.5234454549
43	0.5224334044
44	0.521261739
45	0.5204165455
46	0.51942637147	0.5137152717
48	0.5125404298
49	0.5114708869
50	0.5105742621
51	0.5095296913
52	0.508666888
53	0.507853079
54	0.5069593684
55	0.5060994605
56	0.5053277213
57	0.5045470675
58	0.503593026
59	0.5028699158
60	0.5023684144
61	0.5017598063
62	0.5010580716
63	0.5005195858
64	0.5000602482
65	0.4990930616
66	0.4983767795
67	0.4979497492
68	0.4972745261
69	0.496380064
70	0.4960056839
71	0.4955324258
72	0.4950536002
73	0.494180429
74	0.4935545996
75	0.4927906205
76	0.4923267778
77	0.491879845
78	0.4912120731
79	0.4908124741
80	0.4901631484
81	0.4895219338
82	0.4887874669
83	0.4882256891
84	0.4876002624
85	0.4870549016
86	0.4866981854
87	0.4861469802
88	0.488	0.491189	0.4852908147
90	0.48495872
91	0.4844897793
92	0.4840218406
93	0.4834846923
94	0.4831327127
95	0.482695	0.4896	0.482396	0.4871547322
97	0.4867072881
98	0.486247646
99	0.4856127553
100	0.4853298775
101	0.4848246558
102	0.4844714344
103	0.4838483937
104	0.4834702877
105	0.4831525263
106	0.4827206999
107	0.482256649
108	0.4819032967
109	0.4816875622
110	0.4814071528
111	0.4808172313
112	0.4799356285
113	0.4793941663
114	0.4790839472
115	0.478808183
116	0.4783945481
117	0.4778064941
118	0.4775438186
119	0.477239566
120	0.4769241557
121	0.476589707
122	0.4763115604
123	0.4758122053
124	0.4753804656
125	0.4750486622
126	0.4744754149
127	0.4742291157
128	0.4736140526
129	0.4731019659
130	0.4726138327
131	0.4721166526
132	0.4713562743
133	0.4710746577
134	0.4705951945
135	0.4703018489
136	0.4699489974
137	0.4696599098
138	0.4694313664
139	0.4691551086
140	0.4688992634
141	0.468481196
142	0.4681818631
143	0.4676403212
144	0.4671671903
145	0.466915715
146	0.4664134554
147	0.4657335635
148	0.4652628302
149	0.4650669459
150	0.4648175297
151	0.4644163241
152	0.4640649687
153	0.463574154
154	0.4632880808
155	0.4630204426
156	0.4625405255
157	0.4622601781
158	0.4618522188
159	0.4611961757
160	0.4608789874
161	0.4606828349
162	0.4599612397
163	0.459496434
164	0.4591153153
165	0.4581439146
166	0.4578091156
167	0.4575650094
168	0.4570822231
169	0.4568345284
170	0.4565026702
171	0.456293742
172	0.4173	0.4478173	0.4556995816
174	0.4175	0.4470175	0.4176	0.4468176	0.4177	0.4466101249
178	0.446178	0.45179	0.44179	0.454067539
180	0.4537181	0.4452845633
182	0.4450532595
183	0.4447674114
184	0.444151722
185	0.4437694975
186	0.44186	0.4512523484
187	0.450188	0.44188	0.4503884339
189	0.4498237287
190	0.4493458067
191	0.4486614052
192	0.4481727099
193	0.447457731
194	0.4469229336
195	0.446748669
196	0.4464459506
197	0.4459198	0.4374767339
199	0.4371177907
200	0.4368824101
201	0.4366364496
202	0.4364620953
203	0.4362396198
204	0.4359971426
205	0.4355241825
206	0.4353525544
207	0.4350554158
208	0.4348898183
